11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
lavianga's spirit, 10 forbidden tome, 20 maps main skill tagged nova, 3 forbidden shako, 4 orb of conflict, 2 devoto's devotion, cold iron point, 13 Grave Knowledge, Full stack The Demoness, 5 transfigured gems that start with C, 33 Three Voices, 20 maps main skill tagged link, kill kitava, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 3 passive voices, the utmost, kill craiccean only wearing craiceann uniques, the fourth vow, doppelganger guise, 10 tailoring orbs, 27 deafening fear, 3 blue woke gems, 4 hour a10 any templar, 10k of each harvest juice, pillars of arun
exalted orb trinket, 20 tainted chrome, kill kitava with champion, 6 rings 2 each min charge unveiled, ghost feared valdo, 20 maps with phys main skill, 1 uber, 3 blue woke gems, 10 simulacrum, fractured delve mod, piece of brutality, Fenumus First of the Night, kill kitava, split personality, 20 ancient orbs, 2 devoto's devotion, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, hyrri's ire, atziri's foible, oriath's end, sandstorm visage, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, call of the brotherhood, kaom's binding, 18 deafening doubt
dyadian dawn, 50 replica uniques, 20 tainted chrome, ashes of the stars, the brass dome, doppelganger guise, 20 maps 1000 dex, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 10 Ever-Changing, the squire, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, gloomfang, kill kitava, 100 Orb of Chance, 20 medium cluster 4 or 5 passive rare, piece of the arcane, 10 simulacrum, Full stack The Cache, 5 fairgraves tricorn, Assassin's Gift, 250 quant t17 80 deli unique bosses shrined kill k'tash, 4 grasping mail, Full stack The Army of Blood, 50 regal orb, 20 maps with temp minions main skill
13 The Mountain, 5 transfigured gems that start with F, Full stack Destined to Crumble, 5 militant faith, 2 curse impresence or soul ascension or eternity shroud, plus 4 hands of the high templar, gloomfang, kill kitava with saboteur, 10 perception contract, Full stack Volatile Power, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 10 6 mod abyss jewels, kill kitava, mother's embrace, 20 turbulent catalyst, palindrome timeless jewel, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, rakiata's dance, 20 Gemcutter's Prism, 1 passive voices, 250 quant t17 80 deli unique bosses shrined kill esh, Farrul First of the Plains, 20 maps with attack main skill, 20 craicic squid, badge of the brotherhood
20 maps with phys main skill, the anima stone, 3x t1 ele or 3x t1 phys axe 6 link t1 attack speed t1 crit chance double damage chance corrupted with fortify and inspiration, 44 Rats, rise of the phoenix, 20 maps 1000 int, 80% deli t17 lt 50 remain and boss, the ivory tower, 10 forbidden tome, 20 priceless contract, 5 black sun crest, Full stack Volatile Power, kill kitava, dead reckoning, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, Full stack The Gambler, 1 any blueprint exclusive non replica unique, 20 Saqawine Retch, make a harbinger unique, 4 unique relics, Full stack The Doppelganger, oriath's end, 30 Vinia's Token, 100 engineering orbs, 200 rolled currency t17 lt 50 remain
atziri's foible, massive thread of hope, 4 grasping mail, 11 Forbidden Power, the tides of time, 40 unmakings, Saqawal First of the Sky, 200 yellow beasts, i83 omnitect at most 2 items equipped, 250 quant t17 100 deli possessed omniphobia, 5 Influenced Scouting Report, Full stack Cartographer's Delight, kill kitava, Full stack Rain of Chaos, t16 rare monster with 8 essence 4 ghost 80 deli, 12 pragmatism, wyrmsign, necrotic 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 int or dex inc attributes prefixes 90% divine suffixes perfect divine implicits 1% less damage take per 180 corresponding attribute 15% aura effect, 1 sanctified fossil, immutable force, 200 tainted whetstone, 16 The Battle Born, lab unique, 20 maps 1000 int, 20 maps main skill tagged slam
Full stack The Opulent, 100 engineering orbs, 3 large cluster jewel 3 notable, forbidden flesh, 2 curse impresence or soul ascension or eternity shroud, 5 every transfigured colour, Full stack The Wolf's Shadow, 10 deception contract, 1 each rare cluster jewel size, Matryoshka, bones of ullr, Full stack The Gemcutter, kill kitava, cloak of flame, 20 maps with valid 0.1% league build, 1 of each temple resistance, kill kitava with assassin, 40 scrap metal, void valdo, t16 rare monster with 8 essence 4 ghost 80 deli, 250 quant t17 80 deli unique bosses shrined kill k'tash, voices, 20 cold and chaos unveiled, 20 turbulent catalyst, bloodseeker
poorjoy's asylum, 11 Gift of the Gemling Queen, 3 large cluster jewel 3 notable, Full stack Hunter's Resolve, Saqawal First of the Sky, 8 mod t16, 50 replica uniques, 10 deception contract, firesong, impossible escape, 80% deli t17 lt 50 remain and boss, 4.5 hour a10 any marauder, kill kitava, the magnate, 20 maps with 50 mana reservation efficiency, chaos pen chaos multi paradoxica, piece of brutality, Full stack Loyalty, Full stack Azure Rage, every delirium unique jewel, 4 unique relics, 11 The Forsaken, 40 obscured incubator, clear hall of the grandmasters, kill kitava with scion
5 militant faith, Fenumus First of the Night, kill kitava with guardian, 1 each rare cluster jewel size, 50 quant feared with all release, berek's pass, Full stack The Wolf, 10 gearsets of chaos recipe, echoes of creation, Full stack Lantador's Lost Love, 5 Farric Pit Hound, Full stack The Lover, kill kitava, kill farrul with only farrul uniques equipped, the tides of time, dying sun, mao kun, 17 Volatile Power, balance of terror, chaos pen chaos multi paradoxica, 10 6 mod abyss jewels, 250 quant t17 80 deli unique bosses shrined kill k'tash, 5 tainted oil, 5 transfigured gems that start with D, 20 maps main skill tagged link
Full stack The Scarred Meadow, 10 counter thaumatergy contract, kill kitava with scion, ailment faster delve rare, every ritual unique, 4 ghost 80 deli phoenix, plus charge ring, cherrubim's maleficence, ulaman's gaze, every signature betrayal veil, 5 Singular Scouting Report, 2x i68 amethyst ring, kill kitava, 20 Farric Ursa, plus 4 hands of the high templar, kill kitava with berserker, 250 quant t17 80 deli unique bosses shrined kill xoph, 20 tempering orbs, mark of the shaper and mark of the elder, 20 reflective oils, unnatural instinct, 20 Farric Flame Hellion Alpha, 10 deception contract, 66 The Carrion Crow, 4 hour a10 any duelist
1 of each temple resistance, 25 The Army of Blood, 10 6 mod abyss jewels, 20 maps main skill tagged critical, Full stack The Wolf, 20 tainted chrome, widowhail, 3 same aura watcher's, 20 essence enslaver, 20 essence constrictor, massive thread of hope, 100 chaos orbs, kill kitava, rare items from each warband, 10 carto incubator, al dhih, 9 deafening wrath, 600 delve, piece of time, impossible escape, headhunter, kintsugi, 20 maps main skill tagged strike, 50 noxious catalyst, 200 astragali
doppelganger guise, 200 tainted whetstone, the tides of time, Blighted Scouting Report, 4 voidstones, kingmaker aoe corrupt, kill kitava with guardian, crest of desire, 50 replica uniques, every talisman anointed, 13 The Master Artisan, 20 maps 85 max res, kill kitava, 20 essence enslaver, the overflowing chalice, Full stack Thunderous Skies, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 50 quant feared with all release, 5 transfigured gems that start with A, 40 primal incubator, 20 inscribed ultimatum, the iron fortress, 10 bindings, 1 hysteria essence, 10 craicic vassal
turn in cards for a t0, 5 every transfigured colour, 1 each relic base type, t16 rare monster with 8 essence 4 ghost 80 deli, 10 forbidden tome, Black Morrigan, 20 diviner's incubator, 13 The Gambler, 25 The Visionary, 20 maps spellslinger main skill, kill kitava with assassin, 20 small cluster jewel rare, kill kitava, Full stack Imperial Legacy, hyrri's ire, 40 Orb of Scouring, Full stack Loyalty, 5 lethal pride, massive thread of hope, The Greatest Intentions, 4.5 hour a10 any marauder, karui ward, 100 Blacksmith's Whetstone, 250 quant t17 80 deli unique bosses shrined kill k'tash, 50 noxious catalyst
20 essence enslaver, 2 Craicic Maw, The Astromancer, 90 life 9 suppress 20 chaos rare non-body, 10 Guardian's Challenge, 4 voidstones, delve max number of minion mod, 10 gearsets of chaos recipe, 20 maps CI, 20 maps cast on crit main skill, 4 unique relics, valako's sign, kill kitava, 4 orb of conflict, call of the brotherhood, mageblood, Black Morrigan, 11 The Wilted Rose, piece of storms, 4.5 hour a10 scion, defiance of destiny, megalomaniac, 10 deception contract, 20 omen of refreshment, 80% deli t17 lt 50 remain and boss
The Astromancer, echoes of creation, i83 omnitect at most 2 items equipped, ancestral vision, Full stack Volatile Power, 13 The Mountain, unique items from each warband, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, 10k of each harvest juice, 10 heist bases any, 20 maps with phys main skill, Exalted Orb, kill kitava, 1 sanctified fossil, 2 curse impresence or soul ascension or eternity shroud, omen of fortune, every delirium unique jewel, 50 Lesser Eldritch Ember, 20 maps main skill tagged bow, Full stack The Gambler, 20 Farric Ursa, the light of meaning, 200 astragali, 90 quant feared, 5 Farric Pit Hound
Saqawal First of the Sky, 20 maps cast while channeling main skill, dissolution of the flesh, bloodseeker, maelstrom of chaos, 20 Fenumal Queen, 20 maps main skill tagged curse, 20 Glassblower's Bauble, death and taxes, void valdo, 5 transfigured gems that start with F, 2 curse impresence or soul ascension or eternity shroud, kill kitava, 33 The Arena Champion, 11 The Cataclysm, 3 forbidden shako, Full stack The Scholar, 20 essence purifier, profane proxy, 20 priceless contract, 10 craicic vassal, marohi erqi, 3x t1 ele or 3x t1 phys bow 6 link +2 arrows t1 attack speed t1 crit chance corrupted with momentum or faster projectiles, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, piece of brutality
4.5 hour a10 like leaguestart, 10 tailoring orbs, piece of the arcane, 250 quant t17 80 deli unique bosses shrined kill tul, oriath's end, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 20 maps with phys main skill, Full stack The Explorer, 22 Boon of Justice, 20 Farric Ursa, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, forbidden flame, kill kitava, 350 Jeweller's Orb, Full stack The King's Blade, 27 deafening fear, 11 Lysah's Respite, infused beachhead, aegis aurora, prismweave, Black Morrigan, 50 tainted mythic orb, double corrupted bloodseeker, 20 maps main skill tagged prismatic, Full stack Sambodhi's Vow
rumi's concoction, grand spectrum, 250 quant t17 abyss profound depth full atlas, 2 fractured fossil, echoes of creation, ashes of the stars, imbalanced guard or unwavering stance impossible escape, triple nonnegative leadership's price, Full stack Rats, 20 Farric Ursa, 17 The Standoff, lochtonial caress, kill kitava, Saqawal First of the Sky, 5 temple mod rare hats, maven witness uber elder, 9 same corrupted essence, 20 maps with phys main skill, 4 grasping mail, the hungry loop, melding of the flesh, 20 maps with brands main skill, 5 brutal restraint, 200 tainted whetstone, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger
rise of the phoenix, kitava's thirst, split personality, 20 maps CI, rakiata's dance, 20 maps 1000 dex, 1000 Portal Scroll, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 50 tainted mythic orb, 10 gearsets of chaos recipe, ashes of the stars, void valdo, kill kitava, massive thread of hope, piece of time, kill farrul with only farrul uniques equipped, 100 distinct uniques, Saqawal First of the Sky, 10 The Fortunate, 5 transfigured gems that start with A, 25 The Adventuring Spirit, 10 craicic vassal, drop a t0, defiance of destiny double corrupted, 18 deafening doubt
matching balance of terror, 10 gearsets of chaos recipe, 20 maps 50k armour, 83 lycia, every attribute amulet anointed, 3 rares same name, 200 tainted whetstone, voice of the storm, Full stack Society's Remorse, ceinture of benevolence, 5 way 4 unrelenting 3 layers of rewards, 10 deception contract, kill kitava, 9 deafening anger, 10 tailoring orbs, afk blight ravaged no towers or button pressing, the tides of time, grand spectrum, 4 orb of conflict, 250 quant t17 unique boss shrined and 4 ghosts, 1000 sepia oil, chaos orb an item, Full stack The Arena Champion, 3 sacred blossom, 20 maps main skill tagged strike
20 tainted chrome, 10 The Admirer, Full stack The Scarred Meadow, 16 The Penitent, kill kitava with guardian, kingmaker, 20 maps 1h attack main skill, 250 quant t17 100 deli possessed kosis, 10 craicic vassal, 20 essence enslaver, Craiceann First of the Deep, matching balance of terror, kill kitava, 10 gearsets of chaos recipe, 100% deli 10 mod t16 less than 50 remain and map complete, impossible escape, 11 Emperor of Purity, dyadian dawn, 1 each tincture, the tides of time, 10 megalomaniac, matching damage and multi cane of kulemak, ailment faster delve rare, 40 chisels, Full stack The Gambler
2 yellow beachhead, 3 gold oils, 20 maps with 50 mana reservation efficiency, lab unique, shadows and dust, 10 vagan weapon veiled, 4.5 hour a10 any marauder, cloak of flame, shadowstitch, dissolution of the flesh, caer blaidd, delve max number of minion mod, kill kitava, 4 ghost 80 deli hydra, forbidden flesh, 10 simulacrum, bitterdream, 20 maps main skill tagged prismatic, matching balance of terror, 12 large cluster 12 passive rare, divine orb, widowhail, 33 Rain Tempter, 5 way 4 unrelenting 3 layers of rewards, 200 tainted whetstone
rakiata's dance double corrupted, 21 The Lunaris Priestess, 20 maps with 50 mana reservation efficiency, 20 maps main skill tagged orb, 11 Emperor of Purity, al dhih, 5 brutal restraint, 100 engineering orbs, 300 quant t17 full spec ultimatum completed, Full stack The Carrion Crow, the dancing dervish, pilfering scarab 1000 cards one boss, kill kitava, plus 6 march of the legion non minion non warcry, might of the meek, oriath's end, 1 each rare cluster jewel size, massive thread of hope, 3 gold oils, kikazaru, 10 darkness enthroned, headhunter, 50 replica uniques, 250 quant t17 80 deli unique bosses shrined kill chayula, Full stack Rats
